70782,0,9245,3387,"USinsuranceonline.com  - Health Insurance ",55470.00,0.78,13.06,0.00,CPA
17000,0,5057,2783,"Get Auto Insurance for Less - Redirected to Find Me Cheap Car Insurance- Email ",20228.00,1.19,29.75,0.00,CPA
12461,0,3825,1778,"Grant Approval 360",4207.50,0.34,30.70,0.00,CPA
5094,0,430,3679,"CreditOptions.com - inactive",3117.50,0.61,8.44,0.00,CPA
3112,0,140,2439,"Social Security Disability Benefits",1820.00,0.58,4.50,0.00,CPA
1361,0,384,1718,"Scholarships for Moms",1728.00,1.27,28.21,0.00,CPA
4841,0,804,2845,"$500 Free Groceries",1447.20,0.30,16.61,0.00,CPA
988,0,57,2922,PersonalInjuryPlace.com,1068.75,1.08,5.77,0.00,CPA
1424,0,50,2822,"Disability Income Help ",675.00,0.47,3.51,0.00,CPA
1333,0,112,2510,"Car Loan Pal",644.00,0.48,8.40,0.00,CPA
1446,0,48,3337,"Loan Mod - National Online Rates - inactive",504.00,0.35,3.32,0.00,CPA
1802,0,44,1655,"American Health Care Center - Exclusive",396.00,0.22,2.44,0.00,CPA
864,0,43,3578,RockStar-Payday,275.20,0.32,4.98,0.00,CPA
913,0,10,3550,"FreeScore360.com - Email Only",270.00,0.30,1.10,0.00,CPA
364,0,17,3419,YourDirectAutoWarranty.com,199.75,0.55,4.67,0.00,CPA
2976,0,107,3630,"Get Unemployment Benefits - New Page ",192.60,0.06,3.60,0.00,CPA
210,0,21,2703,"Insurance Finders Health ",183.75,0.88,10.00,0.00,CPA
273,0,8,3399,"US Workers Comp Claim",128.00,0.47,2.93,0.00,CPA
450,0,6,3019,"RateMarketplace Refinance",114.00,0.25,1.33,0.00,CPA
315,0,11,2989,"Fast Money Direct",71.50,0.23,3.49,0.00,CPA
1818,1,2,2924,"Free Score Finder ",56.00,0.03,0.11,181800.00,CPA
424,0,17,3479,"Coupon Xplorer",51.00,0.12,4.01,0.00,CPA
237,0,10,3637,"Senior People Meet",48.00,0.20,4.22,0.00,CPA
210,0,3,3847,"Car Finance Fast",36.00,0.17,1.43,0.00,CPA
77,0,19,3288,"Nursing - Prequalifier - inactive",30.40,0.39,24.68,0.00,CPA
194,0,1,3007,"Profinity Credit Report - inactive",30.00,0.15,0.52,0.00,CPA
46,0,4,3629,"Health Plans of America",22.00,0.48,8.70,0.00,CPA
30,0,9,3934,"Cobra Health Insurance- Zip-Display",21.60,0.72,30.00,0.00,CPA
89,0,9,2838,"The Jobs Guide redirect to Online Job Applications (3971)",18.00,0.20,10.11,0.00,CPA
218,0,8,3969,"Government Grants",16.00,0.07,3.67,0.00,CPA
28,0,1,3819,"Find Me Cheap Car Insurance- Email",13.50,0.48,3.57,0.00,CPA
55,0,3,3754,"Atlas Life Insurance - Zip Submit",8.70,0.16,5.45,0.00,CPA
102,0,3,3091,"Drive America Sweeps ",8.40,0.08,2.94,0.00,CPA
9,0,3,3029,"Divorce Advisor",6.60,0.73,33.33,0.00,CPA
70,0,1,2807,USFamilyAssistance,6.50,0.09,1.43,0.00,CPA
127,0,5,3968,"Find Grocery Coupons",6.00,0.05,3.94,0.00,CPA
4,0,1,3887,"Credit Sesame - Free Credit Score & Debt Management",3.20,0.80,25.00,0.00,CPA
4,0,1,3485,IMVU,2.40,0.60,25.00,0.00,CPA
4,0,0,3628,"SuperbRewards-$1500 for Mortgage Payment",0.00,0.00,0.00,0.00,CPA
3,0,0,2511,"Local Job Center",0.00,0.00,0.00,0.00,CPA
87,0,0,1838,"Mesothelioma Asbestos Exposure Legal Center",0.00,0.00,0.00,0.00,CPA
1,0,0,2887,"Groceries - $500 Gift Card",0.00,0.00,0.00,0.00,CPA
83,0,0,3431,"Mortgage Refi - Low Rates Shop",0.00,0.00,0.00,0.00,CPA
1,0,0,2930,"Planning Family Free Diapers",0.00,0.00,0.00,0.00,CPA
3,0,0,2650,"Grant Approval Guide redirect to Government Grants (3969)",0.00,0.00,0.00,0.00,CPA
20,0,0,2578,MyNewPlace,0.00,0.00,0.00,0.00,CPA
11,0,0,3575,"SimpleOnline Advance",0.00,0.00,0.00,0.00,CPA
1,0,0,3202,"Working Car Loan",0.00,0.00,0.00,0.00,CPA
3,0,0,3863,"Real Estate Relief Network",0.00,0.00,0.00,0.00,CPA
3,0,0,4031,"Medicare Enrollment Period",0.00,0.00,0.00,0.00,CPA
2,0,0,3690,"Free Grant Money",0.00,0.00,0.00,0.00,CPA
3,0,0,1631,"File for Grants",0.00,0.00,0.00,0.00,CPA
1,0,0,2760,"Auto-Price-Finder.com - Display only",0.00,0.00,0.00,0.00,CPA
2,0,0,3589,"Credit Repair Connect",0.00,0.00,0.00,0.00,CPA
37,0,0,2920,CarAccidentHome.com,0.00,0.00,0.00,0.00,CPA
2,0,0,3384,"Best Buy Gift Card",0.00,0.00,0.00,0.00,CPA
1,0,0,3392,"Seized Assets Central",0.00,0.00,0.00,0.00,CPA
1,0,0,3168,"Global Registry",0.00,0.00,0.00,0.00,CPA
1,0,0,3781,"Freedom Gold Buyer - Inactive",0.00,0.00,0.00,0.00,CPA
1,0,0,3933,APlusGamer,0.00,0.00,0.00,0.00,CPA
1,0,0,3717,"US Medicare Online",0.00,0.00,0.00,0.00,CPA
10,0,0,3448,FreeScoresUSA,0.00,0.00,0.00,0.00,CPA
7,0,0,1882,"Get Unemployment Benefits",0.00,0.00,0.00,0.00,CPA
40,0,0,2787,"PersonalInjuryAttorneys - Auto Accident",0.00,0.00,0.00,0.00,CPA
1,0,0,3616,"Million Dollar Income",0.00,0.00,0.00,0.00,CPA
5,0,0,3824,"Inbox Dollars - inactive",0.00,0.00,0.00,0.00,CPA
1,0,0,3971,"Online Job Applications",0.00,0.00,0.00,0.00,CPA
259,0,0,3318,"Easy Quote Finder",0.00,0.00,0.00,0.00,CPA
1,0,0,3867,"Student Union Loans",0.00,0.00,0.00,0.00,CPA
1,0,0,2988,"Free Gas Fairy (Daily Sweepstakes)",0.00,0.00,0.00,0.00,CPA
35,0,0,3409,"EliteMate Mainstream",0.00,0.00,0.00,0.00,CPA
12,0,0,3380,RefinanceXperts.net,0.00,0.00,0.00,0.00,CPA
95,0,0,3308,"Kindle Fire",0.00,0.00,0.00,0.00,CPA
1,0,0,3697,"Auto Loan Professionals",0.00,0.00,0.00,0.00,CPA
